Betreiber_Name,Betreiber_Adresse,Betreiber_Adresszusatz,Betreiber_PLZ,Betreiber_Ort,Gemeinde_Nr,Gemeinde_PLZ,Gemeinde_Name,Kanton,H4_Netznutzung,H4_Energie,H4_Abgaben,H4_Netzzuschlag,H4_Total,C3_Netznutzung,C3_Energie,C3_Abgaben,C3_Netzzuschlag,C3_Total
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2586,4612,Wangen bei Olten,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2582,4613,Rickenbach (SO),SO,11.95,7.79,0.70,2.30,22.74,8.26,8.19,0.70,2.30,19.45
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2500,4632,Trimbach,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2491,4633,Hauenstein-Ifenthal,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2502,4634,Wisen (SO),SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2501,4652,Winznau,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2497,4653,Obergösgen,SO,11.95,7.79,1.12,2.30,23.16,8.26,8.19,1.12,2.30,19.87
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2493,4654,Lostorf,SO,11.95,7.79,0.78,2.30,22.82,8.26,8.19,0.78,2.30,19.53
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2499,4655,Stüsslingen,SO,11.95,7.79,1.50,2.30,23.54,8.26,8.19,1.50,2.30,20.25
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2584,4656,Starrkirch-Wil,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2573,4657,Dulliken,SO,11.95,7.79,1.07,2.30,23.11,8.26,8.19,1.07,2.30,19.82
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2572,4658,Däniken,SO,11.95,7.79,0.92,2.30,22.96,8.26,8.19,0.92,2.30,19.67
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2422,4710,Balsthal,SO,11.95,7.79,1.15,2.30,23.19,8.26,8.19,1.15,2.30,19.90
Aare Versorgungs AG,Aarburgerstrasse 39,Postfach,4601,Olten,2583,5012,Schönenwerd,SO,11.95,7.79,1.02,2.30,23.06,8.26,8.19,1.02,2.30,19.77
