Gemeinde_Nr,Gemeinde_Name,Gemeinde_d,Bezirk_Nr,Bezirk_Name,Kanton_Short,Kanton_Nr,Kanton_BFS,Kanton_d,Kanton_DW,Gemeinde_Name_dw
1,Aeugst am Albis,Aeugst am Albis,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Aeugst am Albis
2,Affoltern am Albis,Affoltern am Albis,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Affoltern am Albis
3,Bonstetten,Bonstetten,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Bonstetten
4,Hausen am Albis,Hausen am Albis,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Hausen am Albis
5,Hedingen,Hedingen,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Hedingen
6,Kappel am Albis,Kappel am Albis,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Kappel am Albis
7,Knonau,Knonau,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Knonau
8,Maschwanden,Maschwanden,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Maschwanden
9,Mettmenstetten,Mettmenstetten,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Mettmenstetten
10,Obfelden,Obfelden,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Obfelden
11,Ottenbach,Ottenbach,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Ottenbach
12,Rifferswil,Rifferswil,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Rifferswil
13,Stallikon,Stallikon,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Stallikon
14,Wettswil am Albis,Wettswil am Albis,101,Affoltern,ZH,1,Zürich,Zürich,Zürich,Wettswil am Albis
21,Adlikon,Adlikon,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Adlikon
22,Benken (ZH),Benken (ZH),102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Benken (ZH)
23,Berg am Irchel,Berg am Irchel,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Berg am Irchel
24,Buch am Irchel,Buch am Irchel,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Buch am Irchel
25,Dachsen,Dachsen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Dachsen
26,Dorf,Dorf,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Dorf
27,Feuerthalen,Feuerthalen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Feuerthalen
28,Flaach,Flaach,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Flaach
29,Flurlingen,Flurlingen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Flurlingen
30,Andelfingen,Andelfingen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Andelfingen
31,Henggart,Henggart,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Henggart
32,Humlikon,Humlikon,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Humlikon
33,Kleinandelfingen,Kleinandelfingen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Kleinandelfingen
34,Laufen-Uhwiesen,Laufen-Uhwiesen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Laufen-Uhwiesen
35,Marthalen,Marthalen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Marthalen
37,Ossingen,Ossingen,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Ossingen
38,Rheinau,Rheinau,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Rheinau
39,Thalheim an der Thur,Thalheim an der Thur,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Thalheim an der Thur
40,Trüllikon,Trüllikon,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Trüllikon
41,Truttikon,Truttikon,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Truttikon
43,Volken,Volken,102,Andelfingen,ZH,1,Zürich,Zürich,Zürich,Volken
51,Bachenbülach,Bachenbülach,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Bachenbülach
52,Bassersdorf,Bassersdorf,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Bassersdorf
53,Bülach,Bülach,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Bülach
54,Dietlikon,Dietlikon,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Dietlikon
55,Eglisau,Eglisau,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Eglisau
56,Embrach,Embrach,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Embrach
57,Freienstein-Teufen,Freienstein-Teufen,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Freienstein-Teufen
58,Glattfelden,Glattfelden,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Glattfelden
59,Hochfelden,Hochfelden,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Hochfelden
60,Höri,Höri,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Höri
61,Hüntwangen,Hüntwangen,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Hüntwangen
62,Kloten,Kloten,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Kloten
63,Lufingen,Lufingen,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Lufingen
64,Nürensdorf,Nürensdorf,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Nürensdorf
65,Oberembrach,Oberembrach,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Oberembrach
66,Opfikon,Opfikon,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Opfikon
67,Rafz,Rafz,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Rafz
68,Rorbas,Rorbas,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Rorbas
69,Wallisellen,Wallisellen,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Wallisellen
70,Wasterkingen,Wasterkingen,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Wasterkingen
71,Wil (ZH),Wil (ZH),103,Bülach,ZH,1,Zürich,Zürich,Zürich,Wil (ZH)
72,Winkel,Winkel,103,Bülach,ZH,1,Zürich,Zürich,Zürich,Winkel
81,Bachs,Bachs,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Bachs
82,Boppelsen,Boppelsen,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Boppelsen
83,Buchs (ZH),Buchs (ZH),104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Buchs (ZH)
84,Dällikon,Dällikon,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Dällikon
85,Dänikon,Dänikon,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Dänikon
86,Dielsdorf,Dielsdorf,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Dielsdorf
87,Hüttikon,Hüttikon,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Hüttikon
88,Neerach,Neerach,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Neerach
89,Niederglatt,Niederglatt,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Niederglatt
90,Niederhasli,Niederhasli,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Niederhasli
91,Niederweningen,Niederweningen,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Niederweningen
92,Oberglatt,Oberglatt,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Oberglatt
93,Oberweningen,Oberweningen,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Oberweningen
94,Otelfingen,Otelfingen,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Otelfingen
95,Regensberg,Regensberg,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Regensberg
96,Regensdorf,Regensdorf,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Regensdorf
97,Rümlang,Rümlang,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Rümlang
98,Schleinikon,Schleinikon,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Schleinikon
99,Schöfflisdorf,Schöfflisdorf,104,Dielsdorf,ZH,1,Zürich,Zürich,Zürich,Schöfflisdorf
