period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,3.92,0.65,5.3506665,6.6053333,14.91
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.16,6.86875,7.33115,16.66
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.65,8.038571,8.280286,19.27
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.24,0.65,4.627033,6.443267,14.02
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.65,6.4751787,7.333464,16.76
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.16,8.038571,8.280286,18.78
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.2,0.16,5.676305,6.958621,15.1
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.16,6.4751787,7.333464,16.27
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.16,7.481094,7.6835938,17.62
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.24,0.16,4.627033,6.443267,13.53
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.916,0.65,4.0381665,6.443267,13.43
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.01776,0.01,3.1121821,6.2989945,11.72
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,standard,2.3,2.1333334,0.65,6.1814284,7.3557143,16.49
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,standard,2.3,6,0.16,9.4543085,9.113951,21.02
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,standard,2.3,0.384,0.16,4.429893,6.4627614,13.35
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.916,0.16,4.0381665,6.443267,12.94
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.01776,0.5,3.1121821,6.2989945,12.21
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.65,7.0082145,7.653357,17.61
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.65,7.481094,7.6835938,18.11
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,3.92,0.16,5.3506665,6.6053333,14.42
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.65,6.86875,7.33115,17.15
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.2,0.65,5.676305,6.958621,15.59
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.65,5.759643,7.0758715,15.79
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.16,5.759643,7.0758715,15.3
2021,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.16,7.0082145,7.653357,17.12
