gde_nr,gde_name,Kanton,Anb_1_change_in_prozent,Anb_1_differenz,Anb_1_entwicklung,Anb_1_gruppen,Anb_1_Name,Anb_1_preis_2018,Anb_1_preis_2019,Anb_1_preis_2020,Anb_1_preis_2021,Anb_1_preis_2022,Anb_1_preis_2023,Anb_1_preis_pro_2022,Anb_1_preis_pro_2023,Anb_1_rang,Anb_1_rang_preis_pro_2023,Anb_1_verbrauch,Anb_2_change_in_prozent,Anb_2_differenz,Anb_2_entwicklung,Anb_2_gruppen,Anb_2_Name,Anb_2_preis_2018,Anb_2_preis_2019,Anb_2_preis_2020,Anb_2_preis_2021,Anb_2_preis_2022,Anb_2_preis_2023,Anb_2_preis_pro_2022,Anb_2_preis_pro_2023,Anb_2_rang,Anb_2_rang_preis_pro_2023,Anb_2_verbrauch,Anb_3_change_in_prozent,Anb_3_differenz,Anb_3_entwicklung,Anb_3_gruppen,Anb_3_Name,Anb_3_preis_2018,Anb_3_preis_2019,Anb_3_preis_2020,Anb_3_preis_2021,Anb_3_preis_2022,Anb_3_preis_2023,Anb_3_preis_pro_2022,Anb_3_preis_pro_2023,Anb_3_rang,Anb_3_rang_preis_pro_2023,Anb_3_verbrauch,change_in_perc_schnitt,anzahl_anbieter
1,Aeugst am Albis,ZH,36.67,-495,-3.714,4,Elektrizitätswerke des Kantons Zürich EKZ,27,22,27,24,30,19,1350,855,541,1592,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.67,1
2,Affoltern am Albis,ZH,20,135,1.874,3,Elektrizitätswerke des Kantons Zürich EKZ,19,18,23,24,15,18,675,810,1187,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1
3,Bonstetten,ZH,28.57,270,6.342,4,Elektrizitätswerke des Kantons Zürich EKZ,23,19,17,25,21,27,945,1215,805,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,1
4,Hausen am Albis,ZH,36.84,315,10.514,4,Elektrizitätswerke des Kantons Zürich EKZ,19,30,27,22,19,26,855,1170,538,572,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.84,1
5,Hedingen,ZH,64.71,495,14.006,5,Elektrizitätswerke des Kantons Zürich EKZ,17,16,21,19,17,28,765,1260,122,275,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.71,1
6,Kappel am Albis,ZH,28.57,-360,15.688,4,Elektrizitätswerke des Kantons Zürich EKZ,16,29,15,19,28,20,1260,900,805,1450,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.57,1
7,Knonau,ZH,50,405,6.738,5,Elektrizitätswerke des Kantons Zürich EKZ,22,20,21,23,18,27,810,1215,235,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1
8,Maschwanden,ZH,5.26,-45,1.072,1,Elektrizitätswerke des Kantons Zürich EKZ,22,18,26,15,19,18,855,810,2000,1736,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26,1
9,Mettmenstetten,ZH,10,-135,13.706,2,Elektrizitätswerke des Kantons Zürich EKZ,18,29,20,29,30,27,1350,1215,1743,429,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1
10,Obfelden,ZH,6.25,45,-5.306,1,Elektrizitätswerke des Kantons Zürich EKZ,27,17,22,15,16,17,720,765,1949,1893,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,1
11,Ottenbach,ZH,24.14,-315,1.92,3,Elektrizitätswerke des Kantons Zürich EKZ,29,16,28,28,29,22,1305,990,996,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14,1
12,Rifferswil,ZH,0,0,-3.878,1,Elektrizitätswerke des Kantons Zürich EKZ,28,22,24,26,22,22,990,990,2196,1156,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
13,Stallikon,ZH,47.06,360,2.918,5,Elektrizitätswerke des Kantons Zürich EKZ,26,23,28,19,17,25,765,1125,284,717,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.06,1
