id,name,provider,portal,Gemeinde_Nr,fake_gde,not found,seems to have double
nwch:2527,Aarau Rohr,nwch,nwch:aaz2016,4001,1,,
1AeLp,Aesch,luzernerzeitung,luzernerzeitung,1021,,,
nwch:2068,Aetigkofen,nwch,nwch:soz2016,2465,1,1,
nwch:1067,Aetingen,nwch,nwch:soz2016,2465,1,,
1IwMG,Altdorf,luzernerzeitung,luzernerzeitung,1201,,,
nwch:2597,Ammerswil (AG),nwch,nwch:aaz2016,4191,,,
1Ii7I,Andwil,tagblatt,stgallertagblatt,3441,,,
nwch:16,Attelwil,nwch,nwch:aaz2016,4281,1,1,
1eaz0,Au,tagblatt,stgallertagblatt,3231,,,
nwch:2742,"Basel, Altstadt Grossbasel",nwch,nwch:bzb2016,2701,,,1
nwch:2743,"Basel, Altstadt Kleinbasel",nwch,nwch:bzb2016,2701,,,1
nwch:2744,"Basel, Am Ring",nwch,nwch:bzb2016,2701,,,1
nwch:2745,"Basel, Bachletten",nwch,nwch:bzb2016,2701,,,1
nwch:2746,"Basel, Breite",nwch,nwch:bzb2016,2701,,,1
nwch:2747,"Basel, Bruderholz",nwch,nwch:bzb2016,2701,,,1
nwch:2748,"Basel, Clara",nwch,nwch:bzb2016,2701,,,1
nwch:2749,"Basel, Gotthelf",nwch,nwch:bzb2016,2701,,,1
nwch:2750,"Basel, Gundeldingen",nwch,nwch:bzb2016,2701,,,1
nwch:2751,"Basel, Hirzbrunnen",nwch,nwch:bzb2016,2701,,,1
nwch:2752,"Basel, Iselin",nwch,nwch:bzb2016,2701,,,1
nwch:2753,"Basel, Kleinhüningen",nwch,nwch:bzb2016,2701,,,1
nwch:2754,"Basel, Klybeck",nwch,nwch:bzb2016,2701,,,1
nwch:2755,"Basel, Matthäus",nwch,nwch:bzb2016,2701,,,1
nwch:2756,"Basel, Rosental",nwch,nwch:bzb2016,2701,,,1
nwch:2757,"Basel, St. Alban",nwch,nwch:bzb2016,2701,,,1
nwch:2758,"Basel, St. Johann",nwch,nwch:bzb2016,2701,,,1
nwch:2759,"Basel, Vorstädte",nwch,nwch:bzb2016,2701,,,1
nwch:2760,"Basel, Wettstein",nwch,nwch:bzb2016,2701,,,1
16iAg,Berg,tagblatt,stgallertagblatt,4891,,,
1LUIh,Berg SG,tagblatt,stgallertagblatt,3211,,,
nwch:2558,Bibern (SO),nwch,nwch:soz2016,2465,1,,
nwch:1327,Birmenstorf,nwch,nwch:aaz2016,4024,,,
nwch:1089,Brügglen,nwch,nwch:soz2016,2465,1,,
1fLzA,Buchs,tagblatt,stgallertagblatt,3271,,,
nwch:2571,Bättwil - Flüh,nwch,nwch:soz2016,2471,1,,1
nwch:42,Böttstein (Kleindöttingen),nwch,nwch:aaz2016,4303,,,
nwch:1471,"Bözberg (Unter-/Oberbözberg, Linn, Gallenkirch)",nwch,nwch:aaz2016,4124,,,
11yLg,Bürglen,tagblatt,stgallertagblatt,4911,,,
19fXw,Bürglen,luzernerzeitung,luzernerzeitung,1205,,,
nwch:1353,Erlinsbach,nwch,nwch:aaz2016,4005,,,
nwch:2726,Erlinsbach SO,nwch,nwch:soz2016,2503,,,
16Wxy,Eschenbach,luzernerzeitung,luzernerzeitung,1026,,,
10xqV,Eschenz - 8264,tagblatt,stgallertagblatt,4806,,,
18bM0,Escholzmatt,luzernerzeitung,luzernerzeitung,1010,,,
nwch:2568,Fahrweid,nwch,nwch:liz2016,244,,1,
nwch:2568,Fahrweid,nwch,nwch:liz2016,251,,,
nwch:2594,Feldbrunnen - Sankt Niklaus,nwch,nwch:soz2016,2544,,,
11iEl,Gossau,tagblatt,stgallertagblatt,3443,,,
nwch:1114,Gossliwil,nwch,nwch:soz2016,2465,1,,
1QYTR,Grub,tagblatt,stgallertagblatt,3031,,,
17pdT,Hasle,luzernerzeitung,luzernerzeitung,1005,,,
nwch:2109,Heinrichswil-Winistorf,nwch,nwch:soz2016,2535,1,,
1Dhrp,Hergiswil,luzernerzeitung,luzernerzeitung,1507,,,
nwch:2767,Hersiwil,nwch,nwch:ot2016,2535,1,,
nwch:1125,Hessigkofen,nwch,nwch:soz2016,2465,1,,
