Gemeinde_Nr,Kanton_Short,Gemeinde_d,Gemeinde_f,Gemeinde_KT_d,Gemeinde_KT_f,Kanton_d,Kanton_f,Kantons_Nr,Gemeinde_Name_dw
1,ZH,Aeugst am Albis,Aeugst am Albis,Aeugst am Albis ZH,Aeugst am Albis (ZH),Zürich,Zurich,1,Aeugst am Albis
2,ZH,Affoltern am Albis,Affoltern am Albis,Affoltern am Albis ZH,Affoltern am Albis (ZH),Zürich,Zurich,1,Affoltern am Albis
3,ZH,Bonstetten,Bonstetten,Bonstetten ZH,Bonstetten (ZH),Zürich,Zurich,1,Bonstetten
4,ZH,Hausen am Albis,Hausen am Albis,Hausen am Albis ZH,Hausen am Albis (ZH),Zürich,Zurich,1,Hausen am Albis
5,ZH,Hedingen,Hedingen,Hedingen ZH,Hedingen (ZH),Zürich,Zurich,1,Hedingen
6,ZH,Kappel am Albis,Kappel am Albis,Kappel am Albis ZH,Kappel am Albis (ZH),Zürich,Zurich,1,Kappel am Albis
7,ZH,Knonau,Knonau,Knonau ZH,Knonau (ZH),Zürich,Zurich,1,Knonau
8,ZH,Maschwanden,Maschwanden,Maschwanden ZH,Maschwanden (ZH),Zürich,Zurich,1,Maschwanden
9,ZH,Mettmenstetten,Mettmenstetten,Mettmenstetten ZH,Mettmenstetten (ZH),Zürich,Zurich,1,Mettmenstetten
10,ZH,Obfelden,Obfelden,Obfelden ZH,Obfelden (ZH),Zürich,Zurich,1,Obfelden
11,ZH,Ottenbach,Ottenbach,Ottenbach ZH,Ottenbach (ZH),Zürich,Zurich,1,Ottenbach
12,ZH,Rifferswil,Rifferswil,Rifferswil ZH,Rifferswil (ZH),Zürich,Zurich,1,Rifferswil
13,ZH,Stallikon,Stallikon,Stallikon ZH,Stallikon (ZH),Zürich,Zurich,1,Stallikon
14,ZH,Wettswil am Albis,Wettswil am Albis,Wettswil am Albis ZH,Wettswil am Albis (ZH),Zürich,Zurich,1,Wettswil am Albis
